# Time-averaged data for fix rdf_OH_save
# TimeStep Number-of-rows
# Row c_rdf_OH_bond[1] c_rdf_OH_bond[2] c_rdf_OH_bond[3]
44000 100
21 0.41 0 0
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0.0612415 4.9505e-05
41 0.81 0.291274 0.00029703
42 0.83 0.500038 0.000742574
43 0.85 1.80411 0.00242574
44 0.87 2.83434 0.00519802
45 0.89 0.822353 0.0060396
46 0.91 10.0406 0.0167822
47 0.93 5.6263 0.0230693
48 0.95 5.43478 0.0294059
49 0.97 6.1119 0.0368317
50 0.99 7.31153 0.0460891
51 1.01 4.13183 0.0515347
52 1.03 2.74464 0.055297
53 1.05 2.67538 0.0591089
54 1.07 2.51115 0.0628218
55 1.09 1.54862 0.065198
56 1.11 1.98956 0.0683663
57 1.13 1.05083 0.070099
58 1.15 0.928076 0.0716832
59 1.17 2.04381 0.075297
60 1.19 0.784973 0.0767327
61 1.21 1.36131 0.0793069
62 1.23 0.886519 0.0810396
63 1.25 1.15232 0.0833663
64 1.27 1.73479 0.0869802
65 1.29 1.79698 0.0908416
66 1.31 1.05001 0.0931683
67 1.33 1.32164 0.0961881
68 1.35 2.03968 0.10099
69 1.37 1.36847 0.104307
70 1.39 1.74584 0.108663
71 1.41 1.81213 0.113317
72 1.43 2.00446 0.118614
73 1.45 2.46038 0.125297
74 1.47 1.8263 0.130396
75 1.49 1.67411 0.135198
76 1.51 1.59654 0.139901
77 1.53 1.71857 0.145099
78 1.55 1.67449 0.150297
79 1.57 1.91289 0.156386
80 1.59 3.27483 0.167079
81 1.61 3.77005 0.179703
82 1.63 2.76924 0.189208
83 1.65 2.32257 0.197376
84 1.67 2.40468 0.20604
