# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
4 6.1195 267.577
62400 4
1 0.0520214 0.0175015
2 0.0414114 5.90163e-05
3 5.9947 256.321
4 6.08813 256.339
62500 4
1 0.0525828 0.0176904
2 0.0418581 5.96534e-05
3 6.01952 255.666
4 6.11396 255.684
62600 4
1 0.0531472 0.0178804
2 0.0423072 6.02939e-05
3 6.0587 252.755
4 6.15415 252.773
62700 4
1 0.0537146 0.0180714
2 0.0427587 6.09379e-05
3 6.0489 243.282
4 6.14538 243.3
62800 4
1 0.054285 0.0182633
2 0.0432126 6.15853e-05
3 6.1044 243.005
4 6.2019 243.023
62900 4
1 0.0548584 0.0184563
2 0.0436689 6.22361e-05
3 6.10938 243.427
4 6.20791 243.445
63000 4
1 0.0554349 0.0186504
2 0.0441276 6.28904e-05
3 6.10569 235.006
4 6.20525 235.025
63100 4
1 0.0560143 0.0188454
2 0.0445887 6.3548e-05
3 6.09262 234.362
4 6.19322 234.38
63200 4
1 0.0565968 0.0190414
2 0.0450522 6.42091e-05
3 6.10952 236.879
4 6.21117 236.898
63300 4
1 0.0571823 0.0192385
2 0.0455181 6.48736e-05
3 6.07145 229.517
4 6.17415 229.537
63400 4
1 0.0577708 0.0194366
2 0.0459864 6.55415e-05
3 6.05336 228.288
4 6.15712 228.308
63500 4
1 0.0583623 0.0196357
2 0.0464571 6.62128e-05
3 6.05818 232.153
4 6.163 232.172
63600 4
1 0.0589568 0.0198358
2 0.0469302 6.68876e-05
3 6.04974 225.985
4 6.15563 226.005
63700 4
1 0.0595543 0.0200369
2 0.0474057 6.75658e-05
3 6.07279 224.14
4 6.17975 224.16
63800 4
1 0.0601549 0.020239
2 0.0478835 6.82474e-05
3 6.06317 228.83
4 6.17121 228.85
63900 4
1 0.0607585 0.0204422
2 0.0483638 6.89324e-05
3 6.04421 223.987
4 6.15333 224.008
64000 4
1 0.061365 0.0206463
2 0.0488465 6.96208e-05
3 6.04675 221.58
4 6.15697 221.601
64100 4
1 0.0619746 0.0208515
2 0.0493316 7.03127e-05
3 6.06515 226.728
4 6.17646 226.749
64200 4
1 0.0625872 0.0210577
2 0.0498191 7.1008e-05
3 6.0582 223.298
4 6.1706 223.319
64300 4
1 0.0632029 0.0212649
2 0.050309 7.17067e-05
3 6.07267 220.425
4 6.18618 220.446
64400 4
1 0.0638215 0.0214731
2 0.0508012 7.24088e-05
3 6.09034 225.788
4 6.20496 225.809
64500 4
1 0.0644432 0.0216823
2 0.0512959 7.31144e-05
3 6.06139 223.809
4 6.17713 223.83
64600 4
1 0.0650678 0.0218926
2 0.051793 7.38233e-05
3 6.05641 220.589
4 6.17328 220.611
64700 4
1 0.0656955 0.0221038
2 0.0522925 7.45357e-05
3 6.06594 226.022
4 6.18393 226.044
64800 4
1 0.0663262 0.0223161
2 0.0527943 7.52515e-05
3 6.05183 225.495
4 6.17095 225.517
64900 4
1 0.0669599 0.0225294
2 0.0532986 7.59708e-05
3 6.07211 222.066
4 6.19237 222.089
65000 4
1 0.0675966 0.0227437
2 0.0538053 7.66934e-05
3 6.08446 227.507
4 6.20586 227.53
65100 4
1 0.0682363 0.022959
2 0.0543143 7.74195e-05
3 6.10336 228.417
4 6.22592 228.44
65200 4
1 0.0688791 0.0231754
2 0.0548258 7.8149e-05
3 6.10865 224.936
4 6.23236 224.959
65300 4
